size_bucket,groups,members,posts,likes,likes_subs,uniq_sub_likers,avg_likes_per_post,share_likes_from_subs,sub_like_reach
<100,3173,116531,18038.0,44448.0,30354.0,3861.0,2.464131278412241,0.6829103671706264,0.03313281444422514
100–1K,2154,747415,126431.0,756776.0,593214.0,45458.0,5.985683890817916,0.7838699958772477,0.06082029394646883
1K–5K,658,1412711,820069.0,1242349.0,973440.0,85029.0,1.5149322800886267,0.7835479402325756,0.06018853112915522
5K–20K,132,1190086,51953.0,682693.0,402285.0,55129.0,13.140588608935,0.589261937649866,0.04632354300445514
20K–100K,17,773054,17342.0,110471.0,90658.0,18658.0,6.370141852150848,0.8206497632862924,0.024135442026042165
100K+,1,125665,652.0,19696.0,0.0,0.0,30.208588957055216,0.0,0.0
